 avg Loss: 0.2611, avg cls Loss: 0.0864, avg bbox Loss: 0.1747
 avg Loss: 0.2729, avg cls Loss: 0.0957, avg bbox Loss: 0.1772
 avg Loss: 0.2735, avg cls Loss: 0.0956, avg bbox Loss: 0.1779
 avg Loss: 0.2738, avg cls Loss: 0.0966, avg bbox Loss: 0.1772
 avg Loss: 0.2731, avg cls Loss: 0.0964, avg bbox Loss: 0.1767
 avg Loss: 0.2705, avg cls Loss: 0.0942, avg bbox Loss: 0.1764
 avg Loss: 0.2638, avg cls Loss: 0.0889, avg bbox Loss: 0.1750
 avg Loss: 0.2646, avg cls Loss: 0.0895, avg bbox Loss: 0.1751
 avg Loss: 0.2629, avg cls Loss: 0.0888, avg bbox Loss: 0.1741
 avg Loss: 0.2637, avg cls Loss: 0.0892, avg bbox Loss: 0.1745
 avg Loss: 0.2597, avg cls Loss: 0.0878, avg bbox Loss: 0.1719
 avg Loss: 0.2596, avg cls Loss: 0.0874, avg bbox Loss: 0.1722
 avg Loss: 0.2640, avg cls Loss: 0.0910, avg bbox Loss: 0.1730
 avg Loss: 0.2623, avg cls Loss: 0.0907, avg bbox Loss: 0.1717
 avg Loss: 0.2567, avg cls Loss: 0.0855, avg bbox Loss: 0.1712
 avg Loss: 0.2563, avg cls Loss: 0.0867, avg bbox Loss: 0.1697
 avg Loss: 0.2543, avg cls Loss: 0.0837, avg bbox Loss: 0.1706
 avg Loss: 0.2566, avg cls Loss: 0.0871, avg bbox Loss: 0.1695
 avg Loss: 0.2288, avg cls Loss: 0.0679, avg bbox Loss: 0.1609
 avg Loss: 0.2282, avg cls Loss: 0.0681, avg bbox Loss: 0.1601
 avg Loss: 0.2317, avg cls Loss: 0.0700, avg bbox Loss: 0.1616
 avg Loss: 0.2258, avg cls Loss: 0.0670, avg bbox Loss: 0.1588
 avg Loss: 0.2230, avg cls Loss: 0.0644, avg bbox Loss: 0.1586
 avg Loss: 0.2238, avg cls Loss: 0.0667, avg bbox Loss: 0.1570
 avg Loss: 0.2219, avg cls Loss: 0.0637, avg bbox Loss: 0.1581
 avg Loss: 0.2205, avg cls Loss: 0.0631, avg bbox Loss: 0.1574
 avg Loss: 0.2178, avg cls Loss: 0.0613, avg bbox Loss: 0.1565
 avg Loss: 0.2182, avg cls Loss: 0.0629, avg bbox Loss: 0.1552
 avg Loss: 0.2171, avg cls Loss: 0.0617, avg bbox Loss: 0.1555
 avg Loss: 0.2132, avg cls Loss: 0.0595, avg bbox Loss: 0.1537
 avg Loss: 0.2142, avg cls Loss: 0.0604, avg bbox Loss: 0.1538
 avg Loss: 0.2123, avg cls Loss: 0.0595, avg bbox Loss: 0.1528
 avg Loss: 0.2221, avg cls Loss: 0.0658, avg bbox Loss: 0.1563
