                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.4184,                 1.0857,                 1.1361,                0.73127,                0.60643,                0.64685,                0.39014,                  1.343,                0.94091,                 1.1077,              0.0089508,              0.0089508,              0.0089508
                     23,                  1.436,                 1.0774,                 1.1483,                0.75252,                0.61715,                0.66671,                0.42275,                 1.2491,                0.90252,                 1.0832,              0.0088526,              0.0088526,              0.0088526
                     24,                 1.4301,                  1.077,                 1.1348,                0.72673,                0.60734,                0.64422,                0.39542,                 1.2796,                0.92518,                 1.0828,              0.0087506,              0.0087506,              0.0087506
                     25,                 1.4205,                 1.0582,                 1.1348,                0.76493,                 0.6124,                0.66537,                0.42001,                 1.2587,                0.88245,                 1.0785,              0.0086449,              0.0086449,              0.0086449
                     26,                 1.3995,                 1.0585,                 1.1197,                0.73235,                0.62609,                0.66347,                0.41651,                 1.2583,                0.87945,                 1.0786,              0.0085355,              0.0085355,              0.0085355
                     27,                 1.4289,                 1.0708,                  1.134,                0.70111,                0.62114,                0.66284,                0.39639,                 1.3307,                0.90653,                 1.0952,              0.0084228,              0.0084228,              0.0084228
                     28,                 1.4219,                 1.0518,                 1.1157,                0.71376,                0.62838,                0.66002,                0.38883,                 1.3399,                0.90006,                 1.1011,              0.0083066,              0.0083066,              0.0083066
                     29,                 1.3997,                 1.0529,                 1.1282,                0.75829,                0.63159,                0.68148,                0.41077,                 1.3383,                0.89462,                 1.1123,              0.0081871,              0.0081871,              0.0081871
                     30,                 1.3857,                 1.0061,                 1.1304,                0.73707,                0.64346,                0.67968,                0.43219,                 1.2113,                0.86609,                 1.0694,              0.0080646,              0.0080646,              0.0080646
                     31,                 1.3783,                 1.0139,                 1.1235,                0.75604,                0.64758,                0.67879,                0.42761,                 1.2588,                 0.8538,                 1.0743,              0.0079389,              0.0079389,              0.0079389
                     32,                 1.3657,                0.99698,                 1.1266,                0.75809,                0.62803,                0.68258,                0.42015,                 1.2756,                0.86303,                 1.0833,              0.0078104,              0.0078104,              0.0078104
                     33,                 1.3848,                 1.0081,                 1.1256,                 0.7737,                  0.637,                0.68646,                0.42897,                 1.2679,                0.85754,                 1.0881,              0.0076792,              0.0076792,              0.0076792
                     34,                 1.3888,                0.99336,                 1.1202,                0.75421,                 0.6411,                0.68484,                0.42543,                 1.2931,                0.87276,                  1.086,              0.0075452,              0.0075452,              0.0075452
                     35,                 1.3447,                0.98129,                 1.1048,                0.76692,                0.63317,                0.68503,                 0.4243,                  1.264,                0.82378,                 1.0763,              0.0074088,              0.0074088,              0.0074088
                     36,                 1.3539,                 0.9777,                 1.1061,                0.76856,                0.63945,                0.69914,                0.44962,                 1.1945,                0.79796,                 1.0609,                0.00727,                0.00727,                0.00727
                     37,                 1.3588,                0.97742,                 1.1078,                0.78591,                0.64017,                0.69537,                0.43446,                 1.2704,                 0.8106,                 1.0744,              0.0071289,              0.0071289,              0.0071289
                     38,                 1.3506,                0.96875,                 1.1138,                 0.7783,                  0.638,                0.70052,                0.45023,                 1.1853,                0.80582,                 1.0503,              0.0069858,              0.0069858,              0.0069858
                     39,                 1.3509,                0.95872,                 1.1072,                0.79605,                0.64645,                0.70578,                0.44027,                 1.2544,                0.79591,                 1.0753,              0.0068407,              0.0068407,              0.0068407
                     40,                 1.3729,                0.96335,                 1.1106,                0.80167,                 0.6436,                0.71127,                0.45612,                 1.2118,                0.77539,                 1.0525,              0.0066937,              0.0066937,              0.0066937
                     41,                 1.3284,                0.96092,                 1.0986,                  0.799,                0.64867,                 0.7077,                0.45076,                 1.2374,                0.77904,                 1.0718,              0.0065451,              0.0065451,              0.0065451
                     42,                 1.3457,                0.95083,                 1.0986,                0.78469,                0.64782,                  0.711,                0.44396,                  1.271,                0.79631,                 1.0702,               0.006395,               0.006395,               0.006395
                     43,                 1.3268,                0.92958,                 1.0987,                0.80028,                0.66993,                0.72318,                0.46562,                 1.2051,                0.76158,                 1.0548,              0.0062435,              0.0062435,              0.0062435
                     44,                  1.324,                0.93058,                 1.0991,                0.80838,                0.65232,                0.71252,                0.45454,                 1.2259,                0.77518,                 1.0588,              0.0060908,              0.0060908,              0.0060908
                     45,                 1.3204,                0.91471,                 1.0916,                0.79786,                0.64271,                0.71246,                0.46631,                 1.1707,                0.74954,                 1.0385,              0.0059369,              0.0059369,              0.0059369
                     46,                 1.3301,                 0.9164,                 1.1019,                0.80437,                0.66038,                0.71951,                0.46551,                  1.171,                0.75255,                  1.041,              0.0057822,              0.0057822,              0.0057822
                     47,                 1.3101,                0.91376,                 1.0833,                0.80994,                0.66876,                0.72636,                0.46403,                  1.192,                0.75206,                 1.0464,              0.0056267,              0.0056267,              0.0056267
                     48,                 1.3236,                0.90589,                 1.0887,                0.82334,                0.65742,                0.72446,                 0.4632,                 1.2318,                0.74579,                 1.0554,              0.0054706,              0.0054706,              0.0054706
                     49,                 1.3211,                0.89725,                 1.0943,                0.82064,                0.67069,                0.73309,                0.46965,                 1.1845,                0.73349,                 1.0421,               0.005314,               0.005314,               0.005314
                     50,                 1.3231,                0.91062,                 1.0892,                0.82081,                0.66039,                0.72709,                0.46946,                 1.2147,                 0.7295,                 1.0566,              0.0051571,              0.0051571,              0.0051571
                     51,                 1.3152,                0.90509,                 1.0936,                0.82221,                0.67326,                 0.7318,                0.47374,                 1.1784,                0.72725,                 1.0425,              0.0050001,              0.0050001,              0.0050001
                     52,                 1.3071,                0.89222,                 1.0827,                0.83991,                0.66311,                0.73787,                0.48095,                  1.182,                0.71578,                 1.0394,               0.004843,               0.004843,               0.004843
                     53,                  1.308,                0.89262,                 1.0921,                0.84219,                0.67282,                 0.7428,                0.47981,                  1.174,                0.70531,                 1.0383,              0.0046861,              0.0046861,              0.0046861
                     54,                 1.3123,                 0.8879,                 1.0926,                0.83323,                0.66882,                0.73801,                0.48042,                 1.1771,                0.71575,                 1.0424,              0.0045295,              0.0045295,              0.0045295
                     55,                 1.2919,                0.85338,                 1.0775,                0.84153,                0.67974,                0.74666,                0.48886,                 1.1626,                0.69012,                 1.0313,              0.0043734,              0.0043734,              0.0043734
                     56,                 1.2791,                0.83266,                 1.0674,                0.84112,                0.68267,                0.74816,                0.49149,                 1.1607,                0.68323,                 1.0312,              0.0042179,              0.0042179,              0.0042179
                     57,                 1.2949,                0.85914,                 1.0795,                0.85033,                 0.6761,                0.74837,                 0.4879,                 1.1667,                0.68414,                  1.027,              0.0040632,              0.0040632,              0.0040632
                     58,                 1.2812,                0.83217,                 1.0653,                0.85111,                0.68225,                0.75762,                0.48972,                 1.1832,                0.67897,                 1.0395,              0.0039093,              0.0039093,              0.0039093
                     59,                 1.2656,                0.83579,                 1.0631,                0.85696,                0.67957,                0.75875,                0.49483,                 1.1612,                0.67492,                  1.034,              0.0037566,              0.0037566,              0.0037566
                     60,                 1.2788,                0.83731,                 1.0749,                0.85306,                0.68647,                0.75894,                0.49372,                 1.1831,                0.67649,                 1.0435,              0.0036051,              0.0036051,              0.0036051
                     61,                 1.2791,                 0.8279,                  1.079,                0.86088,                0.68595,                0.76316,                0.49537,                 1.1748,                0.66588,                 1.0344,               0.003455,               0.003455,               0.003455
                     62,                 1.2832,                0.84167,                 1.0692,                0.85989,                0.68688,                0.76161,                0.49588,                 1.1808,                0.66605,                 1.0313,              0.0033064,              0.0033064,              0.0033064
                     63,                 1.2607,                0.81069,                 1.0608,                0.86131,                0.68854,                0.76337,                0.50175,                 1.1471,                 0.6621,                 1.0223,              0.0031594,              0.0031594,              0.0031594
                     64,                 1.2657,                0.82257,                 1.0598,                 0.8622,                0.68914,                0.76437,                0.50228,                 1.1341,                0.65148,                 1.0208,              0.0030143,              0.0030143,              0.0030143
                     65,                 1.2374,                0.80104,                  1.055,                0.86642,                0.69422,                0.76865,                0.50909,                 1.1345,                 0.6466,                  1.018,              0.0028712,              0.0028712,              0.0028712
                     66,                 1.2441,                 0.7969,                 1.0595,                0.85882,                0.70014,                0.76931,                0.50783,                 1.1317,                0.64594,                 1.0179,              0.0027301,              0.0027301,              0.0027301
                     67,                 1.2577,                0.81541,                 1.0704,                0.85664,                0.70784,                0.77336,                0.51249,                 1.1343,                0.64139,                 1.0192,              0.0025913,              0.0025913,              0.0025913
                     68,                 1.2333,                0.77964,                 1.0564,                0.86514,                0.70355,                0.77706,                0.51376,                   1.13,                0.62684,                 1.0176,              0.0024549,              0.0024549,              0.0024549
                     69,                  1.238,                0.77459,                 1.0534,                0.87962,                0.70263,                0.77929,                0.51351,                 1.1399,                0.62533,                  1.017,              0.0023209,              0.0023209,              0.0023209
                     70,                  1.233,                0.77919,                 1.0559,                0.88586,                0.70225,                0.77981,                0.51672,                 1.1243,                0.61782,                 1.0108,              0.0021897,              0.0021897,              0.0021897
                     71,                 1.2209,                0.76553,                 1.0479,                0.86836,                0.70836,                0.77902,                 0.5098,                 1.1504,                0.62306,                 1.0201,              0.0020612,              0.0020612,              0.0020612
                     72,                 1.2388,                0.75822,                 1.0572,                0.88551,                0.70756,                0.78565,                0.51675,                 1.1402,                 0.6107,                 1.0182,              0.0019355,              0.0019355,              0.0019355
                     73,                 1.2144,                0.74918,                 1.0506,                0.88321,                0.70645,                0.78407,                0.52059,                  1.119,                0.61046,                 1.0108,               0.001813,               0.001813,               0.001813
                     74,                 1.2205,                0.74045,                 1.0519,                0.87073,                0.71515,                0.78546,                0.52292,                 1.1065,                0.60645,                 1.0131,              0.0016935,              0.0016935,              0.0016935
                     75,                 1.2095,                0.74251,                 1.0479,                0.88802,                0.71198,                0.78813,                0.52128,                 1.1195,                0.60147,                 1.0121,              0.0015773,              0.0015773,              0.0015773
                     76,                  1.206,                0.72914,                 1.0435,                0.88874,                0.70976,                0.78912,                0.52349,                 1.1169,                0.60073,                 1.0101,              0.0014646,              0.0014646,              0.0014646
                     77,                 1.1829,                0.71712,                  1.035,                0.88278,                0.71565,                0.79045,                0.52551,                 1.1115,                0.59394,                 1.0081,              0.0013552,              0.0013552,              0.0013552
                     78,                 1.1937,                0.72822,                 1.0409,                0.88973,                0.71946,                0.79365,                0.52514,                 1.1222,                0.59169,                 1.0121,              0.0012495,              0.0012495,              0.0012495
                     79,                 1.1927,                0.71416,                 1.0429,                0.88235,                0.71883,                0.79243,                0.52331,                 1.1234,                0.59271,                 1.0114,              0.0011475,              0.0011475,              0.0011475
                     80,                 1.1922,                0.72597,                  1.042,                0.88656,                0.72124,                0.79535,                0.53214,                 1.0975,                0.58326,                 1.0031,              0.0010493,              0.0010493,              0.0010493
                     81,                 1.1939,                0.73093,                 1.0362,                 0.8944,                0.72133,                0.79442,                0.52614,                  1.115,                0.58705,                 1.0082,             0.00095501,             0.00095501,             0.00095501
                     82,                 1.1804,                0.70991,                 1.0376,                0.89715,                0.72421,                0.79665,                0.53314,                 1.0957,                0.58005,                 1.0021,             0.00086469,             0.00086469,             0.00086469
                     83,                 1.1835,                0.70189,                 1.0391,                0.89613,                0.72364,                0.79686,                0.53271,                 1.1038,                0.57941,                 1.0043,             0.00077845,             0.00077845,             0.00077845
                     84,                 1.1718,                0.69795,                 1.0394,                0.89832,                  0.723,                0.79802,                0.53366,                    1.1,                0.57686,                 1.0051,             0.00069638,             0.00069638,             0.00069638
                     85,                 1.1781,                0.69718,                 1.0311,                0.89478,                0.73171,                0.79858,                0.53386,                 1.1172,                0.58024,                   1.01,             0.00061856,             0.00061856,             0.00061856
                     86,                 1.1756,                0.68749,                 1.0404,                0.89427,                0.72989,                0.79889,                0.53844,                 1.0891,                0.57147,                 1.0001,             0.00054506,             0.00054506,             0.00054506
                     87,                 1.1644,                0.67584,                 1.0272,                0.89736,                0.72688,                0.80035,                0.53648,                 1.0962,                0.57112,                 1.0009,             0.00047596,             0.00047596,             0.00047596
                     88,                 1.1659,                 0.6668,                 1.0305,                0.89573,                 0.7313,                 0.8009,                0.53883,                 1.0885,                0.56816,                 0.9995,             0.00041132,             0.00041132,             0.00041132
                     89,                 1.1652,                0.67428,                 1.0207,                0.89719,                0.73104,                0.80223,                0.53776,                 1.1009,                0.56993,                 1.0039,             0.00035121,             0.00035121,             0.00035121
                     90,                 1.1567,                0.67979,                 1.0195,                0.89638,                 0.7341,                0.80286,                0.53925,                 1.0946,                0.56655,                 1.0017,             0.00029569,             0.00029569,             0.00029569
                     91,                 1.1403,                0.64191,                 1.0245,                0.89731,                0.73574,                0.80276,                0.53917,                 1.0868,                0.56368,                  0.999,             0.00024481,             0.00024481,             0.00024481
                     92,                 1.1275,                0.63205,                  1.012,                0.89399,                 0.7375,                0.80358,                0.53879,                 1.0949,                0.56468,                 1.0013,             0.00019863,             0.00019863,             0.00019863
                     93,                 1.1376,                0.63348,                 1.0181,                0.89181,                0.73824,                 0.8036,                0.53857,                 1.0897,                0.56376,                0.99819,             0.00015718,             0.00015718,             0.00015718
                     94,                 1.1322,                 0.6306,                 1.0158,                0.89522,                0.73499,                0.80345,                0.53774,                 1.0951,                0.56415,                0.99994,             0.00012051,             0.00012051,             0.00012051
                     95,                 1.1424,                0.63634,                 1.0194,                0.89659,                0.73299,                0.80407,                0.53958,                 1.0904,                0.56209,                0.99907,             8.8663e-05,             8.8663e-05,             8.8663e-05
                     96,                 1.1369,                0.63083,                 1.0206,                0.89425,                 0.7347,                0.80388,                0.54112,                 1.0832,                 0.5599,                0.99775,             6.1658e-05,             6.1658e-05,             6.1658e-05
                     97,                 1.1289,                0.63079,                 1.0106,                0.89203,                0.73716,                0.80363,                0.54046,                 1.0848,                0.55957,                0.99778,             3.9526e-05,             3.9526e-05,             3.9526e-05
                     98,                  1.132,                0.63185,                 1.0152,                0.89467,                0.73622,                0.80364,                0.54115,                 1.0832,                 0.5592,                0.99684,              2.229e-05,              2.229e-05,              2.229e-05
                     99,                 1.1326,                0.62169,                 1.0174,                0.89499,                0.73564,                0.80375,                0.54129,                 1.0834,                0.55916,                0.99635,             9.9663e-06,             9.9663e-06,             9.9663e-06
                    100,                  1.133,                0.62329,                 1.0166,                0.89427,                0.73611,                0.80378,                0.54125,                 1.0839,                0.55945,                0.99636,             2.5672e-06,             2.5672e-06,             2.5672e-06
