                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5791,                 2.9943,                 1.7741,                0.47697,                0.37621,                0.34232,                0.17663,                 1.8051,                 1.7267,                  1.369,               0.070024,              0.0033307,              0.0033307
                      2,                 1.9284,                 1.7851,                 1.3873,                 0.4969,                0.42484,                0.40474,                0.21316,                 1.7415,                 1.5442,                 1.2913,               0.040022,              0.0066624,              0.0066624
                      3,                 1.7915,                 1.6206,                 1.3133,                0.56389,                0.49562,                0.45256,                0.25449,                 1.5263,                 1.3846,                 1.2404,               0.010014,              0.0099875,              0.0099875
                      4,                  1.738,                 1.5415,                 1.2967,                0.52991,                0.46618,                0.47348,                0.24744,                 1.6604,                  1.406,                 1.2684,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.6724,                 1.4679,                 1.2582,                0.55518,                0.50616,                0.48203,                0.27372,                 1.4888,                 1.3651,                 1.1977,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.6182,                 1.3906,                 1.2428,                  0.633,                0.51018,                0.53247,                0.31287,                 1.4198,                 1.1934,                 1.1607,              0.0099384,              0.0099384,              0.0099384
                      7,                 1.5847,                 1.3452,                 1.2107,                0.61169,                0.54674,                0.54909,                0.31327,                  1.451,                 1.1577,                 1.1687,              0.0099114,              0.0099114,              0.0099114
                      8,                 1.5494,                 1.3058,                 1.2142,                0.65542,                0.55727,                0.57766,                0.34567,                 1.3307,                 1.0734,                 1.1277,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.5336,                  1.296,                 1.1863,                0.63168,                 0.5638,                0.56782,                0.31799,                 1.4461,                 1.1309,                 1.1633,              0.0098429,              0.0098429,              0.0098429
                     10,                 1.5307,                 1.2354,                 1.1878,                 0.6599,                0.55026,                0.57428,                0.31783,                 1.4767,                 1.1141,                 1.1744,              0.0098015,              0.0098015,              0.0098015
                     11,                 1.5377,                 1.2378,                 1.1933,                0.65404,                0.55295,                0.56647,                0.32261,                 1.3988,                 1.1407,                 1.1394,              0.0097553,              0.0097553,              0.0097553
                     12,                 1.5001,                 1.2109,                 1.1698,                0.70555,                0.55797,                0.57819,                0.32597,                 1.4696,                 1.1098,                   1.16,              0.0097044,              0.0097044,              0.0097044
                     13,                  1.502,                 1.1955,                 1.1818,                0.68877,                0.58356,                0.59133,                0.34752,                  1.373,                 1.0514,                 1.1245,              0.0096489,              0.0096489,              0.0096489
                     14,                 1.5086,                 1.2127,                 1.1736,                0.67136,                0.58921,                0.59974,                0.35986,                  1.308,                 1.0284,                 1.1139,              0.0095888,              0.0095888,              0.0095888
                     15,                 1.4693,                 1.1539,                 1.1617,                0.72423,                0.58514,                0.61499,                0.34297,                 1.4738,                 1.0149,                 1.1809,              0.0095241,              0.0095241,              0.0095241
                     16,                 1.4751,                  1.165,                 1.1646,                0.71141,                0.57425,                0.60964,                0.37228,                 1.3185,                 0.9704,                 1.1088,               0.009455,               0.009455,               0.009455
                     17,                 1.4743,                   1.16,                 1.1497,                0.67898,                0.58627,                0.61363,                0.37142,                 1.3465,                 1.0235,                 1.1256,              0.0093815,              0.0093815,              0.0093815
                     18,                 1.4733,                 1.1433,                 1.1671,                0.71947,                0.59273,                0.63428,                0.39856,                 1.2527,                0.95477,                 1.0892,              0.0093037,              0.0093037,              0.0093037
                     19,                 1.4668,                 1.1268,                 1.1475,                0.72285,                0.59974,                0.63812,                0.38976,                  1.291,                0.93595,                 1.0979,              0.0092216,              0.0092216,              0.0092216
                     20,                 1.4301,                 1.1022,                 1.1471,                0.69653,                0.60922,                0.63986,                0.38561,                 1.3193,                0.96376,                 1.1092,              0.0091354,              0.0091354,              0.0091354
                     21,                 1.4367,                 1.0771,                 1.1438,                0.73289,                 0.6002,                0.64974,                0.40126,                 1.2533,                0.93216,                 1.0847,              0.0090451,              0.0090451,              0.0090451
