                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5974,                 4.1219,                 1.8451,                0.34768,                0.02871,                0.01248,                0.00428,                    nan,                    nan,                    nan,               0.070048,               0.003328,               0.003328
                      2,                 1.9338,                 2.0434,                 1.4158,                0.65394,                0.20311,                0.22515,                0.10382,                 1.9914,                 2.5612,                 1.3422,               0.040046,              0.0066597,              0.0066597
                      3,                 1.7863,                 1.8018,                 1.3405,                0.45823,                0.44882,                 0.3672,                0.17291,                 1.8495,                 1.6562,                 1.2854,               0.010038,              0.0099848,              0.0099848
                      4,                 1.6923,                 1.6255,                 1.2873,                0.46707,                0.42701,                0.37226,                 0.1666,                 1.8985,                 1.6174,                 1.3134,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.6517,                 1.5444,                 1.2697,                 0.5101,                0.42209,                0.38074,                0.17751,                    nan,                    nan,                    nan,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.6155,                 1.4797,                 1.2553,                0.57523,                0.37503,                0.39356,                 0.1863,                 1.7697,                 1.5903,                 1.2353,              0.0099384,              0.0099384,              0.0099384
                      7,                 1.6019,                 1.3922,                 1.2462,                0.49644,                0.46962,                0.44488,                0.20081,                 1.8522,                 1.4182,                 1.2699,              0.0099114,              0.0099114,              0.0099114
                      8,                 1.5531,                 1.3579,                 1.2246,                0.48891,                0.43468,                0.39958,                 0.1673,                 1.9539,                 1.5448,                  1.302,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.5473,                 1.3168,                 1.2065,                0.61643,                0.43533,                0.46019,                0.21683,                 1.7695,                 1.3056,                 1.2352,              0.0098429,              0.0098429,              0.0098429
                     10,                 1.5133,                 1.2717,                  1.202,                 0.5509,                0.42388,                0.44916,                0.20728,                  1.791,                 1.4395,                 1.2475,              0.0098015,              0.0098015,              0.0098015
                     11,                  1.515,                  1.247,                    1.2,                 0.5674,                0.41948,                0.46128,                0.20523,                 1.8059,                 1.4741,                 1.2285,              0.0097553,              0.0097553,              0.0097553
