                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4623,                 3.1736,                 1.6518,                0.44402,                0.27273,                0.25012,                0.12259,                 1.9209,                 2.2072,                 1.3815,               0.070023,              0.0033307,              0.0033307
                      2,                 1.9027,                 1.9242,                 1.3173,                0.42197,                 0.4133,                0.33826,                0.16934,                 1.7823,                 1.7569,                 1.2788,               0.040022,              0.0066624,              0.0066624
                      3,                 1.7636,                 1.6972,                 1.2691,                 0.4753,                0.49094,                0.43086,                0.20588,                 1.8009,                 1.5286,                 1.2951,               0.010013,              0.0099875,              0.0099875
                      4,                 1.6936,                 1.5964,                 1.2279,                0.65247,                0.42148,                0.46193,                0.25221,                  1.546,                 1.3467,                 1.1758,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.6322,                 1.4804,                 1.2218,                 0.5953,                0.47201,                0.48013,                0.27525,                 1.4757,                 1.2607,                 1.1739,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.6185,                 1.4571,                 1.2019,                0.59218,                0.50922,                 0.5162,                0.28239,                  1.457,                 1.2637,                 1.1551,              0.0099384,              0.0099384,              0.0099384
                      7,                 1.5943,                 1.3872,                 1.1975,                0.61457,                0.50225,                0.52087,                0.29228,                   1.47,                 1.1982,                 1.1506,              0.0099114,              0.0099114,              0.0099114
                      8,                 1.5728,                 1.3527,                 1.1824,                0.64149,                0.52662,                0.54879,                0.29276,                 1.5733,                 1.1772,                 1.1909,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.5492,                  1.281,                 1.1829,                0.67193,                0.52247,                0.55737,                0.33726,                 1.3754,                 1.0688,                 1.1212,              0.0098429,              0.0098429,              0.0098429
                     10,                 1.5101,                 1.2836,                 1.1628,                0.64991,                0.55292,                0.55503,                0.33682,                 1.3316,                 1.0735,                 1.0933,              0.0098015,              0.0098015,              0.0098015
