                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2806,                0.84158,                 1.0913,                0.82555,                0.64147,                0.72279,                 0.4691,                 1.1918,                0.73005,                 1.0469,              0.0074088,              0.0074088,              0.0074088
                     36,                 1.2826,                0.83936,                 1.0701,                0.84339,                0.63267,                0.72658,                0.47049,                  1.174,                 0.7271,                 1.0386,                0.00727,                0.00727,                0.00727
                     37,                 1.2656,                0.82924,                 1.0812,                0.84853,                0.65647,                0.73165,                0.46364,                 1.1758,                0.70209,                 1.0391,              0.0071289,              0.0071289,              0.0071289
                     38,                 1.2627,                0.82269,                 1.0815,                0.85031,                0.66668,                 0.7341,                0.47085,                 1.1701,                0.70768,                 1.0375,              0.0069858,              0.0069858,              0.0069858
                     39,                 1.2674,                0.81913,                 1.0801,                0.85816,                0.65022,                0.73007,                0.45099,                 1.2236,                0.71636,                 1.0546,              0.0068407,              0.0068407,              0.0068407
                     40,                 1.2713,                0.83096,                 1.0873,                  0.877,                0.66204,                0.74067,                0.46594,                 1.2162,                0.70813,                 1.0509,              0.0066937,              0.0066937,              0.0066937
                     41,                 1.2553,                 0.8142,                 1.0752,                0.85927,                0.66198,                0.74178,                 0.4763,                   1.19,                0.69622,                 1.0418,              0.0065451,              0.0065451,              0.0065451
                     42,                 1.2481,                0.79406,                 1.0687,                0.84947,                0.65524,                0.73704,                  0.464,                 1.1821,                0.69551,                 1.0307,               0.006395,               0.006395,               0.006395
                     43,                 1.2665,                0.78694,                 1.0738,                0.87501,                0.65652,                0.74483,                0.48471,                 1.1396,                0.66866,                 1.0242,              0.0062435,              0.0062435,              0.0062435
                     44,                 1.2332,                0.77346,                 1.0723,                0.87434,                0.68058,                0.75736,                 0.4866,                 1.1841,                0.66091,                 1.0338,              0.0060908,              0.0060908,              0.0060908
                     45,                 1.2472,                0.79542,                 1.0719,                0.87177,                0.67571,                0.74677,                0.47859,                 1.1853,                0.70333,                 1.0389,              0.0059369,              0.0059369,              0.0059369
                     46,                 1.2509,                0.79272,                 1.0754,                0.87579,                0.68258,                0.76093,                0.49769,                 1.1433,                0.65517,                 1.0315,              0.0057822,              0.0057822,              0.0057822
                     47,                 1.2243,                0.76784,                 1.0654,                0.87761,                 0.6709,                0.75802,                0.49168,                 1.1754,                0.66874,                 1.0336,              0.0056267,              0.0056267,              0.0056267
                     48,                 1.2334,                0.76048,                 1.0766,                0.88405,                0.66014,                0.75326,                0.49283,                 1.1413,                0.65084,                 1.0235,              0.0054706,              0.0054706,              0.0054706
                     49,                 1.2273,                0.74929,                  1.074,                0.89215,                0.67749,                0.76373,                0.49851,                 1.1428,                0.64645,                 1.0239,               0.005314,               0.005314,               0.005314
                     50,                 1.2284,                0.76407,                 1.0643,                0.87323,                0.68727,                  0.759,                0.49655,                 1.1132,                0.63205,                 1.0159,              0.0051571,              0.0051571,              0.0051571
