                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8198,                 1.6733,                  1.273,                0.73882,                0.52732,                 0.5692,                 0.3291,                 1.4635,                  1.239,                 1.1092,               0.070004,              0.0033329,              0.0033329
                      2,                 1.5171,                  1.203,                 1.1542,                0.71864,                0.62719,                0.64693,                0.39789,                 1.3689,                0.97566,                 1.0731,               0.040002,              0.0066646,              0.0066646
                      3,                 1.4547,                  1.121,                 1.1252,                0.75452,                0.64956,                0.66656,                0.41706,                 1.3107,                0.92374,                 1.0511,               0.009994,              0.0099897,              0.0099897
                      4,                 1.4102,                 1.0495,                 1.1001,                 0.7931,                0.66016,                0.69943,                0.44921,                 1.2979,                0.89271,                 1.0479,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.3864,                0.99889,                   1.09,                0.81651,                0.67768,                0.73515,                 0.4846,                  1.214,                0.79846,                 1.0228,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.3582,                0.95478,                 1.0824,                0.85233,                0.69672,                0.75527,                0.50277,                 1.1979,                0.76211,                 1.0124,              0.0099384,              0.0099384,              0.0099384
                      7,                 1.3491,                0.91225,                 1.0793,                0.88237,                0.70515,                0.77076,                0.51394,                 1.2115,                0.73388,                 1.0158,              0.0099114,              0.0099114,              0.0099114
                      8,                 1.3245,                0.88254,                 1.0719,                0.88939,                0.71682,                0.77863,                0.52254,                 1.1893,                0.69907,                 1.0013,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.3157,                0.85788,                 1.0673,                0.89965,                0.72091,                0.78791,                0.52986,                 1.1864,                0.68404,                 1.0004,              0.0098429,              0.0098429,              0.0098429
                     10,                 1.3039,                0.83323,                 1.0606,                0.90128,                0.72492,                0.78917,                0.53091,                 1.1777,                0.66918,                0.99946,              0.0098015,              0.0098015,              0.0098015
                     11,                  1.296,                0.82505,                 1.0574,                0.90662,                0.72682,                0.79374,                0.53738,                 1.1627,                0.65406,                0.99274,              0.0097553,              0.0097553,              0.0097553
                     12,                 1.2871,                0.80163,                 1.0554,                0.90275,                0.74046,                0.79816,                0.54304,                 1.1612,                0.63214,                0.99008,              0.0097044,              0.0097044,              0.0097044
                     13,                 1.2831,                0.79672,                  1.054,                0.90623,                0.73969,                0.79737,                0.54124,                 1.1651,                0.64268,                0.98842,              0.0096489,              0.0096489,              0.0096489
